No,CAS_Number,VE2_Dzp,SlogP_VSA7,nN(CO)2,B02[C-Cl],Xch-3dv,AATSC0v,T(Cl..Cl),F02[N-S],C-033,B04[O-O],NdO,SRW05,SdsN,nN=C-N<,B07[Cl-Cl],pLC50_sw,Series
68,126-73-8,0.237368338,0,0,0,0,48.42989968,0,0,0,0,1,0,0,0,0,1.330218123,T
69,127-08-2,0.573274767,0,0,0,0,44.97358566,0,0,0,0,1,0,0,0,0,-2.390989257,T
70,130-61-0,0.196927709,0,0,0,0,57.13349306,0,0,0,0,0,0,0,0,0,2.549166996,T
72,137-26-8,0.28014596,0,0,0,0,64.16631324,0,4,0,0,0,0,0,0,0,3.681964459,T
73,141-83-3,0.371915612,0,0,0,0,34.81610851,0,0,0,0,1,0,2.888888889,0,0,-0.908927429,T
76,151-21-3,0.246097777,0,0,0,0,49.71203867,0,0,0,0,2,0,0,0,0,1.185837407,T
77,152-11-4,0.170473759,0,0,0,0,50.85630218,0,0,0,0,0,0,0,0,0,1.244015424,T
78,154-21-2,0.189750946,0,0,0,0,48.19434564,0,0,0,1,1,2.397895273,0,0,0,0.84473972,T
80,307-24-4,0.224950788,0,0,0,0,15.30921165,0,0,0,0,1,0,0,0,0,0.053125119,T
81,333-41-5,0.224753266,0,0,0,0,52.63308535,0,0,0,0,0,0,0,0,0,0.742293049,T
82,335-67-1,0.196392751,0,0,0,0,14.5318772,0,0,0,0,1,0,0,0,0,0.147326557,T
83,375-22-4,0.271598654,0,0,0,0,16.68539046,0,0,0,0,1,0,0,0,0,0.009974621,T
84,422-64-0,0.309698406,0,0,0,0,17.86038049,0,0,0,0,1,0,0,0,0,0.030531293,T
85,439-14-5,0.220183095,5.022633314,0,1,0,51.22252177,0,0,0,0,1,0,4.474135802,0,0,-1.545375756,T
86,519-02-8,0.233200127,0,0,0,0,50.52923356,0,0,0,0,1,0,0,0,0,3.609751816,T
88,549-18-8,0.213004319,0,0,0,0,54.94087009,0,0,0,0,0,0,0,0,0,1.739969705,T
89,591-35-5,0.325704703,10.04526663,0,1,0,49.60436549,4,0,0,0,0,0,0,0,0,1.110761254,T
91,615-35-0,0.170413436,0,0,0,0,46.20172147,0,0,0,1,4,2.397895273,0,1,0,-0.437139399,T
92,657-24-9,0.327491305,0,0,0,0,39.81854669,0,0,0,0,0,0,3.458333333,0,0,-1.017171767,T
93,688-73-3,0.268412354,13.31022759,0,0,0,71.60799624,0,0,0,0,0,0,0,0,0,3.280350693,T
94,723-46-6,0.237844835,0,0,0,0,47.44081,0,0,0,0,2,2.397895273,0,0,0,0.638528323,T
95,898-84-0,0.210067723,0,0,0,0,52.2825509,0,0,0,0,2,2.397895273,0,0,0,1.118050738,T
96,944-22-9,0.258652711,0,0,0,0,61.93709615,0,0,0,0,0,0,0,0,0,1.44698174,T
97,950-37-8,0.242227354,0,0,0,0,54.87282135,0,3,0,1,1,2.397895273,0,0,0,0.857188857,T
99,1163-19-5,0.207411505,0,0,0,0,11.4288692,0,0,0,0,0,0,0,0,0,0.902727924,T
100,1330-20-7,0.34798315,0,0,0,0,55.58701566,0,0,0,0,0,0,0,0,0,-0.66935716,T
101,1461-22-9,0.257568359,13.31022759,0,1,0,74.02119774,0,0,0,0,0,0,0,0,0,3.054100402,T
102,1639-60-7,0.19582872,0,0,0,0,52.62272944,0,0,0,0,1,0,0,0,0,1.372579059,T
103,1912-24-9,0.263412522,5.28358632,0,0,0,47.81653133,0,0,0,0,0,0,0,0,0,1.050323897,T
104,2212-67-1,0.286146171,0,0,0,0,52.85828227,0,1,0,0,1,0,0,0,0,0.848911649,T
106,2706-90-3,0.244953011,0,0,0,0,15.88649159,0,0,0,0,1,0,0,0,0,0.026832095,T
107,2795-39-3,0.182411948,0,0,0,0,15.61196787,0,0,0,0,2,0,0,0,0,0.569756251,T
108,2921-88-2,0.230862591,15.19837644,0,1,0,55.06041587,12,0,0,0,0,0,0,0,0,1.516647492,T
109,3380-34-5,0.240254833,15.06789994,0,1,0,47.51793647,22,0,0,0,0,0,0,0,0,2.392673398,T
111,4685-14-7,0.260517113,0,0,0,0,52.58914396,0,0,0,0,0,0,0,0,0,1.447901629,T
112,4921-49-7,0.253082466,5.28358632,1,0,0,44.40535663,0,0,0,1,2,2.397895273,0,0,0,-0.085940336,T
115,10453-86-8,0.198125648,0,0,0,0.166666667,52.88557451,0,0,1,1,1,4.394449155,0,0,0,3.30021921,T
116,11141-17-6,0.136807125,0,0,0,0.102062073,47.06197735,0,0,0,1,4,4.709530201,0,0,0,1.593267266,T
117,15307-86-5,0.225970103,10.04526663,0,1,0,50.68834513,4,0,0,0,1,0,0,0,0,0.59776544,T
118,17757-70-9,0.239813015,0,0,0,0,51.53423289,0,0,0,1,2,0,0,0,0,1.364958448,T
119,17924-92-4,0.206205376,0,0,0,0,50.0889062,0,0,0,1,2,0,0,0,0,1.107730949,T
